Designator,Quantity,Manufacturer 1,Manufacturer Part Number 1,Description,Package,Type

"C1, C2, C7, C11","4","Yageo Group","T491A106M016AT","KEMET - T491A106M016AT - Surface Mount Tantalum Capacitor, 10 µF, 16 V, 1206 [3216 Metric], T491 Series, ± 20%, -55 °C","A Case","SMD"
"C3, C4, C5, C13, C15, C16, C17","7","Yageo Group","T491B226K006AT","Tantalum Capacitors - Solid SMD 6.3V 22uF 1311 10% ESR=3.5ohms","B Case, [NoParam]","SMD, [NoParam]"
"C6, C10, C14, C18","4","Yageo Group","CC0603KRX7R9BB104","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50 V 0.1uF X7R 0603 10%","0603, [NoParam]","SMD, [NoParam]"
"C8, C12","2","Yageo Group","CC0603KRX5R6BB105","Multilayer Ceramic Capacitors MLCC - SMD/SMT 10V 1uF X5R 0603 10% HI CV","0603","SMD"
"C9","1","Yageo Group","CC0603KRX7R5BB225","Multilayer Ceramic Capacitors MLCC - SMD/SMT 6.3V 2.2uF X7R 0603 10% HI CV","",""
"D1, D2","2","Comchip","CDBB240-HF","Schottky Diode","DO-214AA-2, [NoParam]","SMD, [NoParam]"
"F1, F2","2","Littelfuse","64600001003","LITTELFUSE WICKMANN - 64600001003 - FUSE HOLDER, 5 X 20MM, PCB MOUNT","2 Pos","thru-hole"
"L1","1","Coilcraft","XFL4020-152MEC","COILCRAFT - XFL4020-152MEC - Power Inductor (SMD), 1.5 H, 9.1 A, Shielded, 4.1 A, XFL4020","1616","SMD"
"L2","1","Samsung Electro-Mechanics","CIGT201210UHR47MNE","Power Inductors - SMD 10uH 20% SMD 1240","0805","SMD"
"L3","1","Vishay","IHLP1212BZEZ1R0M1Z","1 H Shielded Molded Inductor 8.4 A 20mOhm Max 1212 (3030 Metric)","",""
"LD1, LD2","2","Broadcom","HSMS-C170","Single Color LEDs Red Diffused 626nm 10mcd","HSMS-C170","SMD"
"P1, P2, P3, P4","4","JST","B2B-XH-AM(LF)(SN)","CONN HEADER VERT 2POS 2.5MM","",""
"Q1, Q2","2","Infineon","IAUS165N08S5N029ATMA1","MOSFET (N-Channel)","",""
"Q3","1","Vishay","SISA35DN-T1-GE3","MOSFET P-CHANNEL 30-V (D-S) PowerPAK 1212-8","",""
"R1","1","Yageo Group","RT0805FRE0740K2L","Thin Film Resistors - SMD 1/8W 40.2K ohm 1% 50ppm","",""
"R2","1","Yageo Group","RT0805FRE07560KL","Thin Film Resistors - SMD 1/8W 560K ohm 1% 50ppm","",""
"R3","1","Yageo Group","RT0805FRE072K2L","Thin Film Resistors - SMD 1/8W 2.2K ohm 1% 50p pm","",""
"R4","1","Yageo Group","RT0805FRE07133KL","Thin Film Resistors - SMD 1/8W 33K ohm 1% 50ppm","",""
"R5, R15","2","Yageo Group","RC0805FR-10100RL","Thick Film Resistors - SMD General Purpose Chip Resistor 0805, 0Ohms, 1%, 1/8W","[NoParam], 0805","[NoParam], SMD"
"R6","1","Yageo Group","RT0805FRE07365KL","Thin Film Resistors - SMD 1/8W 365K ohm 1% 50ppm","",""
"R7, R8, R32","3","Yageo Group","RT0603FRE071ML","Thin Film Resistors - SMD 1M OHM 1% 50PPM 1/10 W","0603, [NoParam]","SMD, [NoParam]"
"R9","1","Yageo Group","RT0603FRE0720KL","Thin Film Resistors - SMD 1/10W 20K ohm 1% 50ppm","0603","SMD"
"R10","1","Yageo Group","PE1206FRE470R02L","Current Sense Resistors - SMD 20 mOhms 1 W 50PPM/C 1206","1206","SMD"
"R11","1","Yageo Group","RT0603FRE0727KL","Thin Film Resistors - SMD 1/10W 27K ohm 1% 50ppm","0603","SMD"
"R12","1","Yageo Group","RT0603FRE072KL","Thin Film Resistors - SMD 1/10W 2K ohm 1% 50ppm","",""
"R13","1","Yageo Group","RT0603BRD0732KL","Thin Film Resistors - SMD 1/10W 32K Ohms 0.1%","0603","SMD"
"R14, R20","2","Yageo Group","RT0603FRD07100KL","Thin Film Resistors - SMD 100K OHM 1% 25PPM 1/10W","0603, [NoParam]","SMD, [NoParam]"
"R16","1","Yageo Group","RT0603DRD07330KL","Thin Film Resistors - SMD 330K OHM .5% 25PPM 1/10W","",""
"R17","1","Yageo Group","RT0603FRE0710KL","Thin Film Resistors - SMD 10K ohm 1% 1/10W","0603","SMD"
"R18","1","Yageo Group","RT0603BRD07120KL","Thin Film Resistors - SMD 1/10W 120K ohm .1% 25ppm","",""
"R19","1","Yageo Group","RT0805BRD07732KL","Thin Film Resistors - SMD 732 kOhms 25PPM/C 125mW 0805 10%","",""
