Altium Designer Pick and Place Locations
C:\GIT\sme\PCB\sme-pcb-energysolution-s01\Project Ouputs\PCBWay\Pick Place\Pick Place for PCB_s01.csv

========================================================================================================================
File Design Information:

Date:       24/05/26
Time:       12:46
Revision:   61a6b40d7637d85bf301c8b7946ff809db80f6f5
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"P3","B2B-XH-AM(LF)(SN)","TopLayer","2Pin_JST_XH-2.54mm","5.2120","38.3440","90","CONN HEADER VERT 2POS 2.5MM"
"R18","RT0603BRD07120KL","TopLayer","RES_0603","27.7750","11.0490","0","Thin Film Resistors - SMD 1/10W 120K ohm .1% 25ppm"
"R16","RT0603DRD07330KL","TopLayer","RES_0603","27.7750","9.0170","180","Thin Film Resistors - SMD 330K OHM .5% 25PPM 1/10W"
"R23","RC1206FR-070RL","TopLayer","RES_1206","89.7883","48.3070","0","Thick Film Resistors - SMD 0 Ohms 250 mW 1206 1%"
"R32","RT0603FRE071ML","TopLayer","RES_0603","75.8190","45.3390","180","Thin Film Resistors - SMD 1M OHM 1% 50PPM 1/10 W"
"L2","10uH","TopLayer","5050__H4mm","37.9495","16.2560","270","Power Inductors - SMD 10uH 20% SMD 1240"
"F2","FUSE - Littelfuse","TopLayer","Fuse_22.7mm_-_2_Hole","23.8760","38.4810","0","LITTELFUSE WICKMANN - 64600001003 - FUSE HOLDER, 5 X 20MM, PCB MOUNT"
"F1","FUSE - Littelfuse","TopLayer","Fuse_22.7mm_-_2_Hole","23.6220","49.5300","0","LITTELFUSE WICKMANN - 64600001003 - FUSE HOLDER, 5 X 20MM, PCB MOUNT"
"U5","S-8261AAXMD-G2XT2U","TopLayer","SOT95P275X135-6N","51.6655","44.1960","180","Battery Battery Protection IC Lithium Ion/Polymer SOT-23-6"
"Q2","N-CH","TopLayer","PowerPAK_1212-8-Pad","49.8945","50.8000","180","MOSFET (N-Channel)"
"Q1","N-CH","TopLayer","PowerPAK_1212-8-Pad","56.0342","50.8009","0","MOSFET (N-Channel)"
